"state","freq"
"alabama",7373
"arizona",6463
"arkansas",2936
"california",41199
"colorado",2428
"connecticut",4342
"delaware",2185
"florida",26984
"georgia",32100
"idaho",334
"illinois",15682
"indiana",8746
"iowa",3062
"kansas",2298
"kentucky",6098
"louisiana",9239
"maine",535
"maryland",17163
"massachusetts",8336
"michigan",15426
"minnesota",4537
"mississippi",8130
"missouri",6351
"montana",177
"nebraska",1334
"nevada",4069
"new hampshire",687
"new jersey",16688
"new mexico",1398
"new york",20671
"north carolina",18227
"north dakota",545
"ohio",20011
"oklahoma",3173
"oregon",2189
"pennsylvania",19932
"rhode island",1128
"south carolina",9420
"south dakota",600
"tennessee",8065
"texas",44317
"utah",1863
"vermont",137
"virginia",14886
"washington",3575
"west virginia",1781
"wisconsin",5357
"wyoming",246
